participant_id,story_condition,gender,age_years,school_level,ses_hollingshead,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post
S1_4D5DFB91,ant_and_grasshopper,male,14,grade_8,54,-3.827753274985775,-4.503487716055282,32.66666666666666,50,40.66666666666666,30,26.66666666666666,20,60,80
S1_107C998D,last_leaf_maple_valley,male,10,grade_4,55,-4.505726922788623,-5.886103951450159,20,10,13.33333333333333,20,66.66666666666666,70,51.66666666666666,55
S1_B3CDA4DB,last_leaf_maple_valley,female,14,grade_8,57,-3.129529941626674,-1.739579462785862,33.33333333333333,60,50,30,16.66666666666666,10,11.33333333333333,22
S1_A87A29B3,last_leaf_maple_valley,female,13,grade_8,52,-5.192956770890214,-3.80899121414539,33.33333333333333,25,33.33333333333333,50,33.33333333333333,25,3.333333333333333,1.666666666666667
S1_488B4F2A,last_leaf_maple_valley,female,14,grade_8,58.5,-4.16800694751055,-3.114494751207128,33.33333333333333,50,33.33333333333333,40,33.33333333333333,10,15,38.66666666666666
S1_34FC2ECC,ant_and_grasshopper,male,14,grade_8,59,-4.16800694751055,-5.196417130759268,62.33333333333333,50,16.66666666666666,0,21,50,66.66666666666667,66.66666666666667
S1_9D361F69,ant_and_grasshopper,male,13,grade_8,48,-4.510355037782602,-3.809592824009038,33.33333333333333,50,33.33333333333333,20,33.33333333333333,30,50,50
S1_C5E2E56D,last_leaf_maple_valley,male,10,grade_4,59,-7.981878878289828,-7.981878878289828,33.33333333333333,30,33.33333333333333,30,33.33333333333333,40,51,55
S1_E7FD272F,ant_and_grasshopper,female,14,grade_8,60.5,-5.189860888331914,-4.503004919706848,10,0,66.66666666666666,50,23.33333333333333,50,40,43.66666666666666
S1_55B25DD6,last_leaf_maple_valley,female,10,grade_4,55.5,-7.981878878289828,-9.210340371976182,13.33333333333333,20,20,0,66.66666666666666,80,30,30
S1_BD7527AD,last_leaf_maple_valley,female,13,grade_8,59,-7.269602145714807,-4.503004919706848,66.66666666666666,60,20,30,13.33333333333333,10,6,6
S1_357FF28C,last_leaf_maple_valley,male,11,grade_4,62.5,-7.981878878289828,-7.981878878289828,0,0,0,0,100,100,7.333333333333333,50
S1_D1845090,ant_and_grasshopper,female,14,grade_8,45,-7.269602145714807,-4.503487716055282,16.66666666666666,0,33.33333333333333,30,50,70,44.66666666666666,32.33333333333334
S1_85BEBD15,ant_and_grasshopper,male,13,grade_8,37,-5.890288333444447,-7.981878878289828,10,0,40,0,50,100,100,50
S1_6B9D9AF6,ant_and_grasshopper,male,10,grade_4,52,-7.981878878289828,-7.277516909858038,6.66666666666666,20,26.66666666666666,30,66.66666666666666,50,4,2
S1_2065ED54,ant_and_grasshopper,female,11,grade_4,60.5,-7.981878878289828,-7.277516909858038,6.66666666666666,25,10,20,83.33333333333334,55.00000000000001,60.33333333333334,48.33333333333334
S1_A7634C91,last_leaf_maple_valley,female,14,grade_8,55.5,-6.565166074925644,-5.196417130759268,20,50,33.33333333333333,30,46.66666666666666,20,10.33333333333333,11
S1_D036EA67,last_leaf_maple_valley,male,14,grade_8,46.5,-7.269602145714807,-5.886103951450159,16.66666666666666,50,33.33333333333333,30,50,20,40,36
S1_E74EE1B9,last_leaf_maple_valley,female,10,grade_4,55,-5.890288333444447,-5.196417130759268,33.33333333333333,25,16.66666666666666,25,50,50,41.66666666666666,48.33333333333334
S1_C4E9BE77,ant_and_grasshopper,female,10,grade_4,59,-7.981878878289828,-1.732008995014391,6.66666666666666,20,33.33333333333333,70,60,10,78.33333333333333,74
S1_32BCEDD2,ant_and_grasshopper,male,10,grade_4,55.5,-7.981878878289828,-7.981878878289828,15,14,18.33333333333333,20,66.66666666666666,66,60,53.33333333333334
S1_6A5C17FA,last_leaf_maple_valley,female,14,grade_8,76.5,-3.470675603055177,-3.809592824009038,66.66666666666666,100,33.33333333333333,0,0,0,33.33333333333334,32.66666666666666
S1_C4100041,ant_and_grasshopper,female,15,grade_8,73.5,-7.981878878289828,-7.981878878289828,33.33333333333333,50,0,0,66.66666666666666,50,33.66666666666666,35.66666666666666
S1_C22E5C2F,ant_and_grasshopper,male,10,grade_4,52,-7.981878878289828,-9.210340371976182,33.33333333333333,50,50,40,16.66666666666666,10,60,10.33333333333333
S1_10A24979,last_leaf_maple_valley,male,14,grade_8,50,-7.998223818178014,0.3465735900161546,16.66666666666666,25,50,25,33.33333333333333,50,75.66666666666667,54.66666666666666
S1_D13D81CE,last_leaf_maple_valley,male,11,grade_4,55.5,-7.981878878289828,-7.981878878289828,33.33333333333333,50,33.33333333333333,20,33.33333333333333,30,11,11
S1_426D8058,last_leaf_maple_valley,male,14,grade_8,52,-1.031846591092756,-5.196417130759268,0,0,0,0,100,100,70.33333333333333,62.33333333333334
S1_C88D0351,ant_and_grasshopper,female,11,grade_4,71,-7.981878878289828,-6.581810403950024,16.66666666666666,4,33.33333333333333,36,50,60,60,46
S1_51971BB5,ant_and_grasshopper,male,10,grade_4,52,-5.890288333444447,-3.114494751207128,10,10,13.33333333333333,20,76.66666666666667,70,80.33333333333333,56
S1_AADB9EBC,ant_and_grasshopper,male,10,grade_4,68,-7.981878878289828,-7.981878878289828,23.33333333333333,20,10,60,66.66666666666666,20,79.33333333333333,67.33333333333333
S1_302FCAB8,ant_and_grasshopper,female,10,grade_4,59,-7.981878878289828,-7.981878878289828,20,20,20,30,60,50,58.33333333333334,40
S1_86E38FE6,last_leaf_maple_valley,male,11,grade_4,52,-7.981878878289828,-7.981878878289828,3.33333333333333,10,30,20,66.66666666666666,70,63.33333333333334,31.33333333333333
S1_7373709C,ant_and_grasshopper,female,14,grade_8,55,-4.164525145902877,-4.503487716055282,16.66666666666666,20,33.33333333333333,30,50,50,12.66666666666667,17.33333333333333
S1_04638B4D,ant_and_grasshopper,female,10,grade_4,52,-7.981878878289828,-7.981878878289828,0,0,0,0,100,100,63.33333333333334,41.66666666666666
S1_A1AC2CDE,ant_and_grasshopper,male,10,grade_4,26,-7.269602145714807,-7.277516909858038,34,78,33,8,33,14,100,100
S1_663EE09A,last_leaf_maple_valley,male,14,grade_8,52,-7.269602145714807,-5.196417130759268,23.33333333333333,40,26.66666666666666,40,50,20,92.33333333333331,74
S1_4E3EB144,last_leaf_maple_valley,female,13,grade_8,44,-6.565166074925644,0.3465735900161546,16.66666666666666,50,33.33333333333333,30,50,20,61.66666666666666,73.33333333333333
S1_7642F9FC,last_leaf_maple_valley,female,14,grade_8,64.5,-7.981878878289828,-6.575336962689026,16.66666666666666,15,33.33333333333333,25,50,60,48.33333333333334,72.33333333333333
S1_0E25F26C,last_leaf_maple_valley,male,14,grade_8,46.5,-4.850567398429279,-1.034981397739749,16.66666666666666,30,33.33333333333333,40,50,30,57.33333333333334,54.33333333333334
S1_81A9043C,last_leaf_maple_valley,male,14,grade_8,66,-4.505726922788623,-3.114494751207128,0,100,50,0,50,0,60,47.33333333333334
S1_B8771EC6,ant_and_grasshopper,male,10,grade_4,73,-3.479252149098894,-5.196417130759268,50,40,16.66666666666666,50,33.33333333333333,10,49.66666666666666,37
